date,AirTemp,FricVel,PAR,DiffRad,RelHum,SoilTempA,SoilTempB,SoilWatCont,DiffuseFract,VaporPressureDeficit,target
2008-07-01 07:00:00,14.90667,0.3178,763.333,124.87652,81.37567,10.827,9.544,0.272,0.16359,315.8093,-3.162
2008-07-01 07:30:00,15.53933,0.41332,895.97022,150.1122,76.65567,10.836,9.544,0.27921,0.16754,412.27192,-8.416
2008-07-01 08:00:00,16.105,0.54563,757.20038,307.47492,70.92333,10.846,9.531,0.27921,0.40607,532.42775,-8.293
2008-07-01 08:30:00,15.94,0.49544,673.80196,528.5287,67.58333,10.879,9.53,0.279,0.7844,587.36512,-10.026
2008-07-01 11:30:00,17.524,0.39873,642.88068,634.8769,62.224,11.259,9.479,0.278,0.98755,756.90818,-9.317
2008-07-01 12:00:00,17.80367,0.40016,742.2695,733.85228,60.02233,11.351,9.478,0.283,0.98866,815.27061,-12.286
2008-07-01 12:30:00,18.04933,0.35301,863.24162,768.18636,58.805,11.426,9.467,0.276,0.88989,853.18046,-14.847
2008-07-01 16:00:00,19.089,0.36608,821.21214,192.39096,55.68967,11.91,9.529,0.27921,0.23428,979.41222,-11.707
2008-07-02 04:00:00,13.579,0.30412,53.63004,48.46562,93.19967,11.783,9.881,0.286,0.9037,105.81038,6.48
2008-07-02 04:30:00,13.46433,0.41074,83.85436,77.78698,94.95467,11.762,9.889,0.286,0.92764,77.91907,8.52
2008-07-02 05:30:00,13.68333,0.42868,132.6022,114.37876,93.46233,11.707,9.891,0.275,0.86257,102.41658,-2.651
2008-07-02 06:30:00,13.705,0.52299,123.5382,123.50318,90.97967,11.696,9.895,0.28,0.99972,141.50831,1.67
2008-07-02 07:00:00,13.15067,0.49811,87.71068,88.65278,88.249,11.684,9.893,0.281,1.01074,177.80345,4.548
2008-07-02 09:00:00,12.57333,0.3828,262.5779,252.3809,98.21167,11.669,9.915,0.28,0.96117,26.05514,-1.556
2008-07-02 09:30:00,12.71,0.41658,527.3346,372.99322,94.865,11.648,9.916,0.281,0.70732,75.48835,-6.173
2008-07-02 10:00:00,13.607,0.45317,1434.54006,549.75014,83.45067,11.629,9.898,0.27862,0.38322,257.97071,-21.346
2008-07-02 10:30:00,13.838,0.51061,946.25962,593.1152,75.98767,11.643,9.901,0.27862,0.6268,379.96973,-13.43
2008-07-02 11:00:00,14.67733,0.66622,1424.7839,412.95996,66.96333,11.674,9.893,0.268,0.28984,551.97264,-19.193
2008-07-02 11:30:00,15.54933,0.58871,1634.49326,442.23394,54.87167,11.699,9.876,0.27862,0.27056,797.49874,-13.079
2008-07-02 12:00:00,15.67033,0.52842,775.94294,719.85464,53.963,11.745,9.867,0.275,0.92772,819.88821,-12.426
2008-07-02 12:30:00,15.54367,0.39874,453.43278,455.43236,55.04333,11.789,9.861,0.28,1.00441,794.177,-10.633
2008-07-02 13:00:00,16.19367,0.53646,1314.52308,788.28578,52.70867,11.815,9.854,0.285,0.59967,870.87202,-15.053
2008-07-02 13:30:00,16.091,0.57052,742.68082,523.10266,50.53233,11.821,9.837,0.276,0.70434,905.00174,-10.222
2008-07-02 14:00:00,16.288,0.57366,1151.2571,356.96504,46.51867,11.891,9.86,0.28,0.31007,990.80169,-7.214
2008-07-02 14:30:00,16.501,0.42706,1214.01706,255.25666,41.75,11.934,9.867,0.28,0.21026,1093.88256,-6.76
2008-07-02 15:00:00,17.13567,0.65889,1378.76418,346.09786,36.95367,11.966,9.863,0.276,0.25102,1232.61385,-9.439
2008-07-02 15:30:00,16.474,0.44687,526.90886,365.71866,43.35967,11.99,9.855,0.27862,0.69408,1061.82865,-6.611
2008-07-02 16:00:00,16.19567,0.54446,554.39818,390.54784,47.12133,12.14,9.971,0.277,0.70445,973.88736,-6.054
2008-07-02 16:30:00,16.069,0.35052,647.0563,402.96278,48.166,12.061,9.879,0.284,0.62276,946.96252,-8.44
2008-07-02 17:00:00,16.082,0.39687,396.99908,246.91984,45.446,12.074,9.891,0.271,0.62197,997.48201,-1.456
2008-07-02 17:30:00,15.77433,0.36164,593.26078,292.90178,49.97,12.07,9.899,0.27862,0.49372,896.95243,-9.248
2008-07-02 18:00:00,16.28233,0.36709,431.51576,241.51028,46.11733,12.053,9.896,0.27862,0.55968,997.87632,-4.882
2008-07-02 20:30:00,12.95267,0.47325,21.95548,27.49894,61.544,11.992,9.98,0.28,1.25249,574.38996,2.767
2008-07-02 21:00:00,11.944,0.52189,14.86908,13.38794,67.83767,11.966,10.005,0.27795,0.90039,449.58136,4.946
2008-07-03 05:00:00,10.22933,0.33028,52.57944,52.56158,98.59533,10.926,9.991,0.288,0.99966,17.52143,4.924
2008-07-03 05:30:00,10.80167,0.38423,88.70772,81.8486,97.852,10.896,9.986,0.279,0.92268,27.83663,-2.203
2008-07-03 06:00:00,11.35433,0.48535,245.804,221.18288,96.45967,10.849,9.956,0.276,0.89983,47.596,-4.633
2008-07-03 06:30:00,12.20667,0.48438,542.10892,419.70784,93.38467,10.829,9.938,0.282,0.77421,94.08706,-7.559
2008-07-03 07:00:00,12.563,0.41699,494.97336,331.25418,91.65633,10.826,9.919,0.27795,0.66924,121.48099,-7.628
2008-07-03 07:30:00,13.25833,0.62979,593.99208,409.80198,88.03033,10.84,9.901,0.277,0.68991,182.39,-13.227
2008-07-03 08:00:00,14.10067,0.57211,1019.90806,490.88908,85.02667,10.86,9.884,0.273,0.48131,241.0115,-11.556
2008-07-03 08:30:00,14.35867,0.52495,647.09612,532.35618,83.717,10.883,9.864,0.276,0.82268,266.50894,-7.773
2008-07-03 09:00:00,14.92533,0.59697,1193.65738,645.4598,80.056,10.944,9.847,0.274,0.54074,338.59349,-16.418
2008-07-03 09:30:00,15.09533,0.58379,346.93628,339.96936,80.43667,10.985,9.83,0.281,0.97992,335.78552,-5.394
2008-07-03 10:00:00,15.079,0.54551,395.58798,396.1943,82.87867,11.065,9.825,0.278,1.00153,293.56239,-10.29
2008-07-03 10:30:00,15.27233,0.51585,374.95158,379.4156,82.684,11.121,9.815,0.28,1.01191,300.61352,-6.876
2008-07-03 11:00:00,15.47867,0.82687,601.74042,543.6491,79.657,11.182,9.815,0.277,0.90346,357.87231,-11.359
2008-07-03 11:30:00,15.76767,0.76097,683.28896,613.26886,76.89133,11.221,9.787,0.283,0.89752,414.12245,-11.751
2008-07-03 12:00:00,15.37067,0.71071,569.16838,571.08055,78.82367,11.288,9.784,0.275,1.00336,369.95955,-9.945
2008-07-03 12:30:00,15.558,0.68242,417.34364,421.18264,77.94567,11.359,9.791,0.278,1.0092,389.95632,-6.668
2008-07-03 13:00:00,15.567,0.63976,318.19516,322.84046,78.50333,11.419,9.781,0.273,1.0146,380.31531,-3.388
2008-07-03 13:30:00,15.39267,0.69071,252.43102,257.51304,81.465,11.467,9.784,0.27795,1.02013,324.27196,-0.97
2008-07-03 14:00:00,15.43767,0.53988,500.47768,464.1125,81.39633,11.524,9.797,0.283,0.92734,326.41455,-6.311
2008-07-03 14:30:00,16.11867,0.68028,562.34566,549.72204,77.706,11.573,9.8,0.271,0.97755,408.58544,-11.631
2008-07-03 15:00:00,16.955,0.57482,902.8568,543.22132,74.828,11.611,9.805,0.284,0.60167,486.53525,-11.916
2008-07-03 15:30:00,18.22233,0.69875,853.60906,518.99778,68.56367,11.628,9.771,0.276,0.608,658.18398,-11.176
2008-07-03 16:00:00,18.33067,0.62495,257.7726,269.08476,66.977,11.706,9.776,0.277,1.04388,696.11987,-1.693
2008-07-03 16:30:00,18.08933,0.40001,146.71732,153.57232,69.401,11.817,9.809,0.27,1.04672,635.32407,0.823
2008-07-03 17:00:00,18.098,0.32198,285.59154,252.34588,70.50133,11.838,9.786,0.274,0.88359,612.81176,-1.449
2008-07-03 17:30:00,18.66,0.51699,341.16758,278.08078,69.109,11.89,9.812,0.282,0.81509,664.74896,-4.463
2008-07-03 18:00:00,19.60533,0.8069,551.30406,207.8025,61.46467,11.918,9.818,0.276,0.37693,879.57198,-6.825
2008-07-03 18:30:00,19.795,0.78959,487.32802,153.06624,54.244,11.942,9.807,0.27795,0.31409,1056.74781,-5.244
2008-07-03 19:00:00,19.23433,0.53009,354.44704,173.3799,59.32233,11.994,9.835,0.273,0.48916,907.29653,-4.681
2008-07-03 19:30:00,19.403,0.54284,287.80466,107.71808,59.55867,12.0,9.824,0.273,0.37427,911.5432,-3.439
2008-07-03 20:00:00,19.39467,0.36657,165.17492,130.42066,62.012,12.032,9.84,0.27795,0.78959,855.80193,-2.693
2008-07-03 20:30:00,19.422,0.34053,144.73972,100.425,64.29367,12.062,9.871,0.274,0.69383,805.7683,0.392
2008-07-04 03:00:00,15.76233,0.50897,20.42284,18.59906,76.99367,11.935,10.053,0.273,0.9107,412.14759,4.751
2008-07-04 03:30:00,15.575,0.43464,37.19948,33.39604,77.78567,11.914,10.055,0.28,0.89776,393.21358,2.544
2008-07-04 04:00:00,15.403,0.4394,103.61388,48.1161,78.207,11.871,10.058,0.27223,0.46438,381.5239,1.688
2008-07-04 04:30:00,15.57733,0.48198,185.33546,61.0687,77.07233,11.849,10.069,0.27,0.3295,405.90095,-0.627
2008-07-04 05:00:00,16.01533,0.4558,280.26712,74.00276,74.79067,11.817,10.073,0.278,0.26404,458.97715,-1.059
2008-07-04 05:30:00,16.512,0.54975,384.06778,85.29636,72.60233,11.791,10.074,0.269,0.22209,514.86375,1.591
2008-07-04 06:00:00,17.056,0.4754,506.657,93.64416,70.35967,11.77,10.078,0.27223,0.18483,576.57955,-3.824
2008-07-04 06:30:00,17.63767,0.48005,633.90046,100.84318,67.87733,11.755,10.065,0.277,0.15908,648.26572,-4.44
2008-07-04 07:00:00,18.34633,0.58427,760.6708,110.35146,62.29667,11.748,10.059,0.277,0.14507,795.56141,-7.58
2008-07-04 07:30:00,19.03067,0.61542,887.8806,116.67084,58.30133,11.748,10.044,0.263,0.1314,918.33908,-5.092
2008-07-04 08:00:00,19.52733,0.74754,1010.99582,123.46472,54.17433,11.756,10.023,0.276,0.12212,1040.91935,-7.194
2008-07-04 08:30:00,19.99833,0.65984,1113.44648,133.72078,51.92367,11.805,10.032,0.273,0.1201,1124.41167,-8.177
2008-07-04 09:00:00,20.42467,0.79852,1231.02578,140.02438,50.20433,11.848,10.026,0.27223,0.11375,1195.71741,-7.356
2008-07-04 09:30:00,20.82433,0.82385,1323.85076,145.81436,49.61133,11.886,10.011,0.275,0.11014,1240.11623,-7.835
2008-07-04 10:00:00,21.27267,0.9156,1381.10846,220.0231,46.39767,11.951,10.011,0.27,0.15931,1356.02824,-10.468
2008-07-04 10:30:00,21.62467,0.84909,1429.43674,167.07698,43.08667,12.041,10.02,0.271,0.11688,1471.14875,-9.872
2008-07-04 11:00:00,21.868,0.91043,1518.59904,140.41716,38.75933,12.126,10.007,0.27223,0.09246,1606.70565,-10.055
2008-07-04 11:30:00,22.10533,0.75605,1482.59848,168.13652,38.3,12.236,10.021,0.274,0.11341,1642.34558,-7.684
2008-07-04 12:00:00,22.33633,0.89259,1552.3796,176.0318,37.52267,12.335,10.019,0.267,0.11339,1686.57722,-9.135
2008-07-04 12:30:00,22.527,0.92548,1575.05952,155.21962,35.92033,12.421,10.02,0.274,0.09855,1749.98565,-9.067
2008-07-04 13:00:00,22.848,0.99574,1470.76378,173.2103,34.08567,12.524,10.032,0.269,0.11777,1835.46606,-7.666
2008-07-04 13:30:00,23.13633,0.93559,1502.41088,197.98454,33.591,12.621,10.033,0.268,0.13178,1881.77524,-6.225
2008-07-04 14:00:00,23.14067,0.85312,1413.8398,240.32716,32.82867,12.728,10.049,0.27223,0.16998,1903.87591,-6.857
2008-07-04 14:30:00,23.24433,0.8271,1183.22966,456.95194,33.18467,12.817,10.049,0.265,0.38619,1905.67888,-9.422
2008-07-04 15:00:00,23.36967,0.89735,1141.13494,588.67522,33.13233,12.913,10.065,0.267,0.51587,1921.65078,-11.162
2008-07-04 15:30:00,23.43367,0.86602,1173.80586,204.01896,33.298,13.004,10.081,0.27223,0.17381,1924.30143,-5.824
2008-07-04 16:00:00,23.174,0.77418,592.72654,300.10218,35.334,13.1,10.103,0.274,0.50631,1836.56009,-2.966
2008-07-04 16:30:00,23.74933,0.80678,1024.05004,169.74332,31.93733,13.176,10.117,0.272,0.16576,2001.23189,-2.619
2008-07-04 17:00:00,20.68833,1.04881,159.3877,130.97548,46.93133,13.228,10.133,0.271,0.82174,1295.18816,5.436
2008-07-04 17:30:00,18.83667,0.68276,412.34882,269.35462,57.05533,13.277,10.172,0.27,0.65322,934.39633,-3.438
2008-07-04 18:00:00,19.384,0.62137,411.6601,258.31644,55.42867,13.285,10.206,0.261,0.6275,1003.44646,-4.204
2008-07-04 18:30:00,19.721,0.56947,543.84068,182.7117,53.68833,13.267,10.231,0.269,0.33597,1064.68364,-5.903
2008-07-04 19:00:00,19.62167,0.50724,386.0797,104.42758,52.524,13.239,10.232,0.278,0.27048,1084.74344,-3.428
2008-07-04 19:30:00,19.47433,0.30735,303.04248,101.30188,53.99567,13.236,10.268,0.27223,0.33428,1041.54148,-0.058
2008-07-04 20:00:00,19.47933,0.31454,176.56192,141.82344,55.01,13.214,10.292,0.268,0.80325,1018.89357,1.179
2008-07-04 21:30:00,18.159,0.71886,14.58892,19.61464,59.31533,13.142,10.34,0.26967,1.34449,848.4368,9.551
2008-07-05 03:00:00,11.042,0.42723,19.00144,15.28588,77.28267,12.543,10.535,0.26967,0.80446,299.1451,4.568
2008-07-05 03:30:00,10.79233,0.47248,36.3384,30.62396,79.29433,12.47,10.545,0.266,0.84274,268.16466,3.171
2008-07-05 04:00:00,10.718,0.4169,102.00846,46.7256,80.133,12.388,10.551,0.26967,0.45806,256.03216,1.459
2008-07-05 04:30:00,10.889,0.54643,185.10748,64.74648,79.738,12.316,10.558,0.26967,0.34978,264.11243,-0.123
2008-07-05 05:00:00,11.18033,0.49844,278.16042,82.24344,78.28833,12.224,10.547,0.274,0.29567,288.54105,-1.298
2008-07-05 05:30:00,11.53167,0.6884,376.39428,105.99936,74.69933,12.152,10.546,0.271,0.28162,344.15967,-1.709
2008-07-05 06:00:00,11.70667,0.71806,439.11922,199.0214,70.99733,12.076,10.529,0.267,0.45323,399.11016,-5.799
2008-07-05 06:30:00,11.94733,0.80777,558.68092,241.06876,68.41733,12.03,10.525,0.26967,0.4315,441.57557,-7.785
2008-07-05 07:00:00,12.08567,0.6728,731.7374,221.59488,65.21367,11.969,10.517,0.26967,0.30283,490.82417,-9.878
2008-07-05 07:30:00,12.595,0.89564,903.90602,157.71222,60.93833,11.928,10.502,0.26967,0.17448,569.92036,-11.789
2008-07-05 08:00:00,12.801,0.85286,1065.1951,173.14712,56.684,11.883,10.482,0.273,0.16255,640.58692,-11.74
2008-07-05 08:30:00,12.87567,0.93332,1076.30606,311.70134,57.42067,11.856,10.468,0.26967,0.2896,632.77975,-14.94
2008-07-05 09:00:00,12.88133,0.88605,887.95476,293.09268,55.42367,11.82,10.443,0.269,0.33008,662.70311,-10.23
2008-07-05 09:30:00,12.89967,0.82256,1030.55002,368.47014,52.41333,11.817,10.447,0.265,0.35755,708.30693,-12.324
2008-07-05 10:00:00,12.93167,0.94911,869.29528,511.71018,51.148,11.796,10.428,0.26967,0.58865,728.66552,-11.204
2008-07-05 11:00:00,13.82867,1.07681,1697.03968,616.76262,46.096,11.81,10.401,0.26967,0.36343,852.45683,-20.419
2008-07-05 11:30:00,13.03833,0.92827,932.81676,819.42062,49.56267,11.82,10.386,0.26967,0.87844,757.57983,-15.612
2008-07-05 12:00:00,12.475,0.8223,567.74492,577.68434,51.20167,11.852,10.376,0.269,1.01751,706.3933,-14.512
2008-07-05 12:30:00,12.23033,0.6148,482.73354,483.49848,51.033,11.888,10.377,0.278,1.00158,697.52252,-5.588
2008-07-05 13:00:00,12.09467,0.63719,478.54762,482.57972,51.97828,11.903,10.377,0.274,1.00843,677.9733,-7.71
2008-07-05 13:30:00,11.891,0.66163,486.75672,491.12116,54.12667,11.902,10.372,0.26967,1.00897,639.0021,-9.212
2008-07-05 14:00:00,11.378,0.66334,319.6035,324.30306,57.179,11.886,10.373,0.26967,1.0147,576.5869,-5.031
2008-07-05 14:30:00,11.29133,0.50905,301.89438,305.02558,59.58367,11.858,10.362,0.271,1.01037,541.09007,-4.508
2008-07-05 15:00:00,11.183,0.60338,440.34216,443.51732,64.15667,11.847,10.369,0.26967,1.00721,476.43066,-6.722
2008-07-05 15:30:00,11.41433,0.62153,533.99458,534.27474,62.07867,11.812,10.363,0.27,1.00052,511.84324,-10.156
2008-07-05 16:00:00,11.31333,0.61499,425.93384,430.50842,60.231,11.784,10.346,0.266,1.01074,533.20095,-10.048
2008-07-05 16:30:00,10.084,0.8401,150.29486,155.01774,69.42167,11.786,10.359,0.246,1.03142,377.73293,0.683
2008-07-05 17:00:00,9.97367,0.61229,329.71536,326.6748,69.132,11.763,10.366,0.279,0.99078,378.50313,-5.688
2008-07-05 17:30:00,10.045,0.50308,274.2739,273.82,69.34733,11.726,10.357,0.26967,0.99835,377.66349,-4.369
2008-07-05 18:00:00,10.673,0.41245,299.42444,297.46332,67.41567,11.683,10.352,0.272,0.99345,418.66703,-5.341
2008-07-05 18:30:00,10.64733,0.49683,132.43328,134.94786,67.257,11.653,10.347,0.26967,1.01899,419.98652,-0.667
2008-07-05 19:00:00,10.377,0.44398,216.1558,212.30566,66.071,11.619,10.344,0.27,0.98219,427.41841,-2.404
2008-07-05 19:30:00,10.32433,0.32244,175.7798,177.71414,67.18,11.572,10.346,0.261,1.011,411.9953,-0.348
2008-07-05 20:00:00,10.12933,0.39483,117.4715,122.17928,68.01067,11.526,10.33,0.268,1.04008,396.36408,0.078
2008-07-05 20:30:00,10.02333,0.30881,58.55344,65.80876,69.84433,11.491,10.328,0.272,1.12391,371.0011,1.766
2008-07-05 21:00:00,9.87233,0.43483,26.51632,33.5732,67.85467,11.446,10.32,0.269,1.26613,391.49644,4.862
2008-07-06 04:30:00,6.15733,0.31095,112.27686,102.89356,91.73733,10.556,10.254,0.273,0.91643,78.13622,-1.15
2008-07-06 05:00:00,7.13433,0.41158,403.5691,189.79466,88.16333,10.483,10.231,0.29,0.47029,119.72415,-8.528
2008-07-06 05:30:00,7.744,0.48585,454.20254,132.96888,84.13467,10.409,10.187,0.267,0.29275,167.30826,-7.043
2008-07-06 06:00:00,8.14933,0.43186,556.75552,122.84878,81.49933,10.361,10.162,0.26679,0.22065,200.56266,-7.841
2008-07-06 06:30:00,8.69633,0.43769,667.90762,118.08058,77.16567,10.328,10.137,0.26679,0.17679,256.90635,-9.902
2008-07-06 07:00:00,9.026,0.34276,504.3759,183.30086,72.57133,10.297,10.109,0.273,0.36342,315.55454,-5.338
2008-07-06 07:30:00,9.378,0.43585,401.1026,335.59048,69.791,10.287,10.089,0.26679,0.83667,355.89055,-6.653
2008-07-06 08:00:00,9.72833,0.49114,621.29806,355.09868,66.54833,10.249,10.06,0.26679,0.57154,403.48764,-7.627
2008-07-06 08:30:00,10.28333,0.56073,759.38192,401.69314,62.30467,10.237,10.033,0.264,0.52897,471.90108,-13.006
2008-07-06 09:00:00,10.37533,0.5293,546.46718,356.65192,60.192,10.236,10.013,0.264,0.65265,501.42279,-6.694
2008-07-06 09:30:00,10.937,0.65435,1214.37892,627.96354,61.69567,10.249,9.989,0.264,0.51711,500.88849,-14.601
2008-07-06 10:00:00,10.857,0.57929,1075.3406,639.44322,55.571,10.264,9.964,0.272,0.59464,577.89421,-16.341
2008-07-06 10:30:00,11.40033,0.48443,1472.97828,634.20122,54.64,10.297,9.937,0.264,0.43056,611.67908,-14.441
2008-07-06 11:00:00,10.577,0.52732,686.49844,594.91084,65.35533,10.347,9.923,0.265,0.86659,442.29971,-11.721
2008-07-06 11:30:00,10.939,0.41791,766.96478,595.3709,64.14867,10.412,9.917,0.268,0.77627,468.87407,-9.7
2008-07-06 12:00:00,11.37533,0.51187,1161.43968,508.90584,60.398,10.461,9.908,0.268,0.43817,533.14856,-11.838
2008-07-06 12:30:00,11.96433,0.7044,1191.1071,498.3497,54.91933,10.498,9.891,0.265,0.41839,631.0061,-11.556
2008-07-06 13:00:00,11.42433,0.65106,995.07132,506.29994,60.24933,10.537,9.874,0.26679,0.50881,536.89033,-20.718
2008-07-06 13:30:00,10.41567,0.64583,607.08886,467.85552,71.893,10.582,9.865,0.268,0.77065,354.9919,-7.904
2008-07-06 14:00:00,11.159,0.49509,787.92872,595.97516,72.569,10.633,9.87,0.26679,0.75638,364.03329,-11.788
2008-07-06 14:30:00,11.34833,0.57277,966.82186,554.53278,69.20433,10.673,9.876,0.261,0.57356,413.85061,-12.08
2008-07-06 15:00:00,11.90433,0.57054,877.2922,412.7986,61.56033,10.702,9.857,0.26679,0.47054,535.92462,-15.245
2008-07-06 15:30:00,12.41567,0.61071,895.3584,477.8939,56.77133,10.733,9.846,0.26679,0.53375,623.33354,-8.2
2008-07-06 16:00:00,11.79233,0.49707,378.32518,384.10898,58.82133,10.773,9.839,0.269,1.01529,569.88222,-5.309
2008-07-06 16:30:00,12.21333,0.54329,949.2844,458.32048,56.86433,10.805,9.829,0.264,0.48281,613.76952,-12.14
2008-07-06 17:00:00,12.36833,0.61954,587.77294,353.0682,56.988,10.834,9.825,0.272,0.60069,618.28232,-9.769
2008-07-06 17:30:00,12.47833,0.69489,801.21434,289.15258,55.303,10.86,9.809,0.26,0.36089,647.16494,-8.803
2008-07-06 18:00:00,12.501,0.7321,684.75156,284.42832,55.64433,10.838,9.784,0.26679,0.41537,643.17982,-12.18
2008-07-06 18:30:00,12.304,0.68885,617.3099,260.48356,56.669,10.953,9.892,0.257,0.42197,620.23838,-6.736
2008-07-06 19:00:00,11.82033,0.6197,423.48244,208.3333,57.17967,10.862,9.794,0.263,0.49195,593.69842,-2.529
2008-07-06 19:30:00,11.14333,0.58453,285.4645,105.6217,60.15533,10.871,9.803,0.26679,0.37,528.2237,-1.351
2008-07-06 20:00:00,11.00167,0.49316,142.93036,92.12458,61.684,10.896,9.841,0.248,0.64454,503.2001,-0.383
2008-07-06 20:30:00,10.47767,0.50311,115.7356,84.09812,68.66333,10.868,9.839,0.261,0.72664,397.4245,0.029
2008-07-06 21:00:00,9.71433,0.37804,45.25408,33.50728,72.924,10.85,9.85,0.269,0.74043,326.2786,2.809
2008-07-07 03:00:00,6.27767,0.40694,11.46184,14.935,95.312,10.154,9.914,0.26463,1.30302,44.70246,3.223
2008-07-07 03:30:00,6.33867,0.34274,18.53176,20.75724,95.821,10.077,9.896,0.259,1.12009,40.0171,3.534
2008-07-07 04:00:00,6.46767,0.34404,26.44216,28.23574,96.04567,10.014,9.868,0.264,1.06783,38.20428,4.998
2008-07-07 04:30:00,6.72467,0.34108,60.81944,58.71068,95.931,9.964,9.849,0.26463,0.96533,40.01439,2.698
2008-07-07 05:00:00,7.09167,0.328,152.41802,136.28754,94.64633,9.93,9.838,0.26463,0.89417,53.99242,-1.841
2008-07-07 06:00:00,7.63333,0.44844,148.95722,145.50466,88.20833,9.869,9.792,0.26463,0.97682,123.41325,-1.663
2008-07-07 06:30:00,7.797,0.50627,238.79108,230.77562,82.417,9.848,9.772,0.26463,0.96643,186.09378,-3.925
2008-07-07 07:00:00,7.82233,0.51608,231.13818,228.67374,80.62267,9.851,9.756,0.265,0.98934,205.43915,-5.657
2008-07-07 07:30:00,7.86233,0.39582,240.1754,240.93348,78.613,9.842,9.744,0.266,1.00316,227.3651,-4.619
2008-07-07 08:00:00,8.043,0.49321,421.20682,416.99482,74.883,9.826,9.727,0.264,0.99,270.32596,-7.572
2008-07-07 08:30:00,8.09533,0.49451,372.42054,380.2609,73.28933,9.814,9.699,0.26463,1.02105,288.50394,-5.228
2008-07-07 09:00:00,8.17733,0.37994,432.25392,433.86622,70.54233,9.813,9.683,0.281,1.00373,319.95443,-6.015
2008-07-07 09:30:00,8.195,0.39104,499.36322,502.66952,70.59367,9.816,9.668,0.267,1.00662,319.78083,-8.709
2008-07-07 10:00:00,8.31633,0.39588,412.11262,414.8222,71.576,9.841,9.665,0.266,1.00657,311.65788,-6.526
2008-07-07 10:30:00,8.588,0.41317,486.47312,487.87598,69.71867,9.855,9.644,0.26463,1.00288,338.20028,-10.852
2008-07-07 11:00:00,8.777,0.51516,519.44204,520.36424,68.426,9.859,9.634,0.262,1.00178,357.18073,-11.43
2008-07-07 11:30:00,9.23467,0.47654,511.56048,512.30002,67.52433,9.861,9.615,0.268,1.00145,378.91649,-9.566
2008-07-07 12:00:00,9.34167,0.42969,646.84412,646.04622,65.70767,9.881,9.604,0.255,0.99877,403.0086,-12.557
2008-07-07 13:00:00,10.03667,0.4034,757.47162,713.29148,62.21667,9.94,9.584,0.263,0.94167,465.25878,-14.534
2008-07-07 14:30:00,11.23733,0.52657,593.96872,582.9127,59.115,10.055,9.543,0.263,0.98139,545.40751,-10.049
2008-07-07 16:00:00,11.283,0.32399,407.83056,406.16196,60.98433,10.193,9.522,0.261,0.99591,522.04968,-8.959
2008-07-07 16:30:00,11.516,0.4163,467.91664,454.91666,60.286,10.219,9.513,0.264,0.97222,539.66111,-9.433
2008-07-07 17:00:00,11.68867,0.54901,614.9361,433.82364,60.354,10.256,9.52,0.261,0.70548,544.92591,-10.913
2008-07-07 17:30:00,11.96733,0.40173,780.38018,444.48758,58.10533,10.268,9.505,0.261,0.56958,586.52686,-13.507
2008-07-07 18:00:00,11.79633,0.31564,354.85216,242.85752,60.11233,10.286,9.499,0.265,0.68439,552.1616,-6.305
2008-07-08 04:30:00,7.68033,0.33624,197.20312,72.79902,90.11,9.719,9.588,0.261,0.36916,103.84291,-2.861
2008-07-08 05:00:00,7.86033,0.31085,223.11516,175.5429,89.08467,9.67,9.578,0.25968,0.78678,116.025,-3.132
2008-07-08 05:30:00,8.03667,0.34637,233.13226,228.31392,88.57567,9.63,9.565,0.26,0.97933,122.9033,-6.186
2008-07-08 06:00:00,8.55533,0.33371,360.60712,297.13714,86.35967,9.579,9.53,0.259,0.82399,152.00646,-6.728
2008-07-08 06:30:00,9.744,0.43645,710.654,224.0099,78.79067,9.55,9.502,0.259,0.31522,256.09222,-8.638
2008-07-08 07:00:00,10.47133,0.34116,786.3432,136.8506,72.17133,9.547,9.488,0.256,0.17403,352.78526,-8.851
2008-07-08 09:30:00,11.323,0.35778,598.01526,597.4776,63.43433,9.65,9.415,0.261,0.9991,490.56688,-8.277
2008-07-08 10:00:00,11.616,0.37723,612.78134,606.17492,61.18733,9.674,9.393,0.254,0.98922,530.91466,-10.177
2008-07-08 10:30:00,11.96867,0.44952,704.02422,700.11092,58.801,9.71,9.372,0.25968,0.99444,576.83844,-11.752
2008-07-08 11:00:00,12.06067,0.4718,658.54012,647.75464,59.77367,9.782,9.365,0.263,0.98362,566.64653,-11.403
2008-07-08 11:30:00,12.524,0.44691,1140.14064,540.61678,56.75333,9.837,9.359,0.267,0.47417,628.04664,-23.394
2008-07-08 12:00:00,12.77433,0.38251,902.30404,470.94828,54.11667,9.889,9.343,0.261,0.52194,677.3696,-15.863
2008-07-08 13:00:00,13.909,0.33993,1372.27312,420.2661,50.79276,10.006,9.313,0.271,0.30626,782.25207,-14.884
2008-07-08 13:30:00,14.438,0.44047,1262.73468,414.31544,46.959,10.095,9.312,0.256,0.32811,872.60511,-12.391
2008-07-08 14:00:00,14.45567,0.46461,951.71794,518.39144,46.993,10.181,9.307,0.257,0.54469,873.04274,-9.109
2008-07-08 14:30:00,15.30267,0.67442,1567.67992,302.7685,44.24467,10.26,9.299,0.26,0.19313,969.82574,-19.734
2008-07-08 15:00:00,15.067,0.39582,738.40632,460.30906,44.80867,10.356,9.301,0.259,0.62338,945.58036,-9.676
2008-07-08 15:30:00,15.63067,0.54396,813.43494,376.50482,44.31667,10.46,9.315,0.257,0.46286,989.16701,-10.296
