Dataset,Model,R2,MAE,RMSE,MSE,MAPE,Rank_R2,Best_R2_Search,HP_USE_PCA,Best_HP,Best_HP_Parsed,Metrics_File,Data_File
DT,ExoTST,0.4722729325294494,4.849380970001221,8.366763035597916,70.00272369384766,431.82435035705566,1,0.4722729325294494,1,"{""HP_BATCH_SIZE"": 96, ""HP_EPOCHS"": 160, ""HP_LR"": 0.0001, ""HP_D_MODEL"": 128, ""HP_N_HEADS"": 4, ""HP_E_LAYERS"": 2, ""HP_D_FF"": 384, ""HP_DROPOUT"": 0.1, ""HP_SCHED_PATIENCE"": 6, ""HP_USE_PCA"": 1}","{""HP_BATCH_SIZE"": 96, ""HP_EPOCHS"": 160, ""HP_LR"": 0.0001, ""HP_D_MODEL"": 128, ""HP_N_HEADS"": 4, ""HP_E_LAYERS"": 2, ""HP_D_FF"": 384, ""HP_DROPOUT"": 0.1, ""HP_SCHED_PATIENCE"": 6, ""HP_USE_PCA"": 1}",E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\ExoTST\ExoTST_Best_20260409_172109_DT_NEE(20141201-20171130)\ExoTST_Best_20260409_172109_DT_NEE(20141201-20171130)_metrics.csv,E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\ExoTST\ExoTST_Best_20260409_172109_DT_NEE(20141201-20171130)\ExoTST_Best_20260409_172109_DT_NEE(20141201-20171130)_data.csv
DT,LightGBM,0.4324155449867248,4.9398112297058105,8.676968784805007,75.28978729248047,569.1501140594482,2,0.4324155449867248,0,"{""HP_N_ESTIMATORS"": 1000, ""HP_LR"": 0.05, ""HP_MAX_DEPTH"": -1, ""HP_NUM_LEAVES"": 31, ""HP_MIN_CHILD_SAMPLES"": 10, ""HP_REG_LAMBDA"": 0.5, ""HP_SUBSAMPLE"": 0.9, ""HP_COLSAMPLE"": 0.8, ""HP_EARLY_STOP_ROUNDS"": 80, ""HP_USE_PCA"": 0}","{""HP_N_ESTIMATORS"": 1000, ""HP_LR"": 0.05, ""HP_MAX_DEPTH"": -1, ""HP_NUM_LEAVES"": 31, ""HP_MIN_CHILD_SAMPLES"": 10, ""HP_REG_LAMBDA"": 0.5, ""HP_SUBSAMPLE"": 0.9, ""HP_COLSAMPLE"": 0.8, ""HP_EARLY_STOP_ROUNDS"": 80, ""HP_USE_PCA"": 0}",E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\LightGBM\LightGBM_Best_20260409_143948_DT_NEE(20141201-20171130)\LightGBM_Best_20260409_143948_DT_NEE(20141201-20171130)_metrics.csv,E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\LightGBM\LightGBM_Best_20260409_143948_DT_NEE(20141201-20171130)\LightGBM_Best_20260409_143948_DT_NEE(20141201-20171130)_data.csv
DT,iTransformer,0.4302806258201599,4.876260280609131,8.693271832784903,75.5729751586914,470.31311988830566,3,0.4302806258201599,1,"{""HP_BATCH_SIZE"": 32, ""HP_EPOCHS"": 80, ""HP_LR"": 0.0002, ""HP_D_MODEL"": 64, ""HP_N_HEADS"": 4, ""HP_E_LAYERS"": 4, ""HP_D_FF"": 384, ""HP_DROPOUT"": 0.2, ""HP_SCHED_PATIENCE"": 6, ""HP_USE_PCA"": 1}","{""HP_BATCH_SIZE"": 32, ""HP_EPOCHS"": 80, ""HP_LR"": 0.0002, ""HP_D_MODEL"": 64, ""HP_N_HEADS"": 4, ""HP_E_LAYERS"": 4, ""HP_D_FF"": 384, ""HP_DROPOUT"": 0.2, ""HP_SCHED_PATIENCE"": 6, ""HP_USE_PCA"": 1}",E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\iTransformer\iTransformer_Best_20260409_151714_DT_NEE(20141201-20171130)\iTransformer_Best_20260409_151714_DT_NEE(20141201-20171130)_metrics.csv,E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\iTransformer\iTransformer_Best_20260409_151714_DT_NEE(20141201-20171130)\iTransformer_Best_20260409_151714_DT_NEE(20141201-20171130)_data.csv
DT,PatchTST,0.4227517247200012,4.933363914489746,8.750525322539794,76.57169342041016,584.7793102264404,4,0.4227517247200012,0,"{""HP_BATCH_SIZE"": 32, ""HP_EPOCHS"": 80, ""HP_LR"": 0.0001, ""HP_D_MODEL"": 64, ""HP_E_LAYERS"": 2, ""HP_DROPOUT"": 0.2, ""HP_SCHED_PATIENCE"": 12, ""HP_USE_PCA"": 0}","{""HP_BATCH_SIZE"": 32, ""HP_EPOCHS"": 80, ""HP_LR"": 0.0001, ""HP_D_MODEL"": 64, ""HP_E_LAYERS"": 2, ""HP_DROPOUT"": 0.2, ""HP_SCHED_PATIENCE"": 12, ""HP_USE_PCA"": 0}",E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\PatchTST\PatchTST_Best_20260409_131604_DT_NEE(20141201-20171130)\PatchTST_Best_20260409_131604_DT_NEE(20141201-20171130)_metrics.csv,E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\PatchTST\PatchTST_Best_20260409_131604_DT_NEE(20141201-20171130)\PatchTST_Best_20260409_131604_DT_NEE(20141201-20171130)_data.csv
DT,Informer,0.4080690741539001,5.267013072967529,8.861113524029708,78.51933288574219,544.0475940704346,5,0.4080690741539001,1,"{""HP_BATCH_SIZE"": 32, ""HP_EPOCHS"": 120, ""HP_LR"": 0.0003, ""HP_D_MODEL"": 192, ""HP_N_HEADS"": 8, ""HP_E_LAYERS"": 4, ""HP_D_LAYERS"": 3, ""HP_D_FF"": 384, ""HP_DROPOUT"": 0.03, ""HP_SCHED_PATIENCE"": 12, ""HP_USE_PCA"": 1}","{""HP_BATCH_SIZE"": 32, ""HP_EPOCHS"": 120, ""HP_LR"": 0.0003, ""HP_D_MODEL"": 192, ""HP_N_HEADS"": 8, ""HP_E_LAYERS"": 4, ""HP_D_LAYERS"": 3, ""HP_D_FF"": 384, ""HP_DROPOUT"": 0.03, ""HP_SCHED_PATIENCE"": 12, ""HP_USE_PCA"": 1}",E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\Informer\Informer_Best_20260409_162331_DT_NEE(20141201-20171130)\Informer_Best_20260409_162331_DT_NEE(20141201-20171130)_metrics.csv,E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\Informer\Informer_Best_20260409_162331_DT_NEE(20141201-20171130)\Informer_Best_20260409_162331_DT_NEE(20141201-20171130)_data.csv
DT,TCN,0.3909651041030884,5.175800800323486,8.988223954755458,80.78816986083984,586.7302894592285,6,0.3909651041030884,1,"{""HP_BATCH_SIZE"": 96, ""HP_EPOCHS"": 150, ""HP_LR"": 0.0005, ""HP_D_MODEL"": 64, ""HP_E_LAYERS"": 4, ""HP_DROPOUT"": 0.15, ""HP_SCHED_PATIENCE"": 12, ""HP_USE_PCA"": 1}","{""HP_BATCH_SIZE"": 96, ""HP_EPOCHS"": 150, ""HP_LR"": 0.0005, ""HP_D_MODEL"": 64, ""HP_E_LAYERS"": 4, ""HP_DROPOUT"": 0.15, ""HP_SCHED_PATIENCE"": 12, ""HP_USE_PCA"": 1}",E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\TCN\TCN_Best_20260409_175050_DT_NEE(20141201-20171130)\TCN_Best_20260409_175050_DT_NEE(20141201-20171130)_metrics.csv,E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\TCN\TCN_Best_20260409_175050_DT_NEE(20141201-20171130)\TCN_Best_20260409_175050_DT_NEE(20141201-20171130)_data.csv
DT,GRU,0.3875179290771484,5.2384562492370605,9.013625109913898,81.24543762207031,661.8980884552002,7,0.3875179290771484,1,"{""HP_BATCH_SIZE"": 96, ""HP_EPOCHS"": 180, ""HP_LR"": 0.0003, ""HP_HIDDEN_SIZE"": 192, ""HP_NUM_LAYERS"": 3, ""HP_SCHED_PATIENCE"": 8, ""HP_EARLY_PATIENCE"": 16, ""HP_USE_PCA"": 1}","{""HP_BATCH_SIZE"": 96, ""HP_EPOCHS"": 180, ""HP_LR"": 0.0003, ""HP_HIDDEN_SIZE"": 192, ""HP_NUM_LAYERS"": 3, ""HP_SCHED_PATIENCE"": 8, ""HP_EARLY_PATIENCE"": 16, ""HP_USE_PCA"": 1}",E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\GRU\GRU_Best_20260409_134723_DT_NEE(20141201-20171130)\GRU_Best_20260409_134723_DT_NEE(20141201-20171130)_metrics.csv,E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\GRU\GRU_Best_20260409_134723_DT_NEE(20141201-20171130)\GRU_Best_20260409_134723_DT_NEE(20141201-20171130)_data.csv
DT,LSTM,0.3837732672691345,5.286070346832275,9.041136929746274,81.74215698242188,676.9700050354004,8,0.3837732672691345,1,"{""HP_BATCH_SIZE"": 32, ""HP_EPOCHS"": 150, ""HP_LR"": 0.0003, ""HP_HIDDEN_SIZE"": 192, ""HP_NUM_LAYERS"": 3, ""HP_EARLY_PATIENCE"": 12, ""HP_USE_PCA"": 1}","{""HP_BATCH_SIZE"": 32, ""HP_EPOCHS"": 150, ""HP_LR"": 0.0003, ""HP_HIDDEN_SIZE"": 192, ""HP_NUM_LAYERS"": 3, ""HP_EARLY_PATIENCE"": 12, ""HP_USE_PCA"": 1}",E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\LSTM\LSTM_Best_20260409_141909_DT_NEE(20141201-20171130)\LSTM_Best_20260409_141909_DT_NEE(20141201-20171130)_metrics.csv,E:\Innovation\Code\NEE\Nee_Prediction\tcn+informer\result_best_DT\LSTM\LSTM_Best_20260409_141909_DT_NEE(20141201-20171130)\LSTM_Best_20260409_141909_DT_NEE(20141201-20171130)_data.csv
